N C#m 0.0928798
A C 15.5573696
A C 15.6038095
A C 15.6502494
A C 15.6966893
A C 15.7431293
A C 15.7895692
A C 15.8360091
A C 15.8824490
A C 15.9288889
A C 15.9753288
A C 16.0217687
A C 16.0682086
A C 16.1146485
A C 16.1610884
A C 16.2075283
A C 16.2539683
A C 16.3004082
A C 16.3468481
A C 16.3932880
A C 16.4397279
A C 16.4861678
A C 16.5326077
A C 16.5790476
A C 16.6254875
A C 16.6719274
A C 16.7183673
A C 16.7648073
A C 16.8112472
A C 16.8576871
A C 16.9041270
A C 16.9505669
A C 16.9970068
A C 17.0434467
A C 17.0898866
A C 17.1363265
A C 17.1827664
A C 17.2292063
A C 17.2756463
A C 17.3220862
A C 17.3685261
A C 17.4149660
A C 17.4614059
A C 17.5078458
A C 17.5542857
A C 17.6007256
A C 17.6471655
A C 17.6936054
A C 17.7400454
A C 17.7864853
A C 17.8329252
A C 17.8793651
A C 17.9258050
A C 17.9722449
A C 18.0186848
A C 18.0651247
A C 18.1115646
A C 18.1580045
A C 18.2044444
A C 18.2508844
A C 18.2973243
A C 18.3437642
A C 18.3902041
A C 18.4366440
A C 18.4830839
A C 18.5295238
A C 18.5759637
A C 18.6224036
A C 18.6688435
A C 18.7152834
A C 18.7617234
A C 18.8081633
A C 18.8546032
A C 18.9010431
A C 18.9474830
A C 18.9939229
A C 19.0403628
A C 19.0868027
A C 19.1332426
A C 19.1796825
A C 19.2261224
A C 19.2725624
A C 19.3190023
A C 19.3654422
A C 19.4118821
A C 19.4583220
A C 19.5047619
A C 19.5512018
A C 19.5976417
A C 19.6440816
A C 19.6905215
A C 19.7369615
A C 19.7834014
A C 19.8298413
A C 19.8762812
A C 19.9227211
A C 19.9691610
A C 20.0156009
A C 20.0620408
A C 20.1084807
A C 20.1549206
A C 20.2013605
A C 20.2478005
A C 20.2942404
A C 20.3406803
A C 20.3871202
A C 20.4335601
A C 20.4800000
A C 20.5264399
A C 20.5728798
A C 20.6193197
A C 20.6657596
A C 20.7121995
A C 20.7586395
A C 20.8050794
A C 20.8515193
A C 20.8979592
A C 20.9443991
A C 20.9908390
A C 21.0372789
A C 21.0837188
A C 21.1301587
A C 21.1765986
A C 21.2230385
A C 21.2694785
A C 21.3159184
A C 21.3623583
A C 21.4087982
A C 21.4552381
A C 21.5016780
A C 21.5481179
A C 21.5945578
A C 21.6409977
A C 21.6874376
A C 21.7338776
A C 21.7803175
A C 21.8267574
A C 21.8731973
A C 21.9196372
A C 21.9660771
A C 22.0125170
A C 22.0589569
A C 22.1053968
A C 22.1518367
A C 22.1982766
A C 22.2447166
A C 22.2911565
A C 22.3375964
A C 22.3840363
A C 22.4304762
A C 22.4769161
A C 22.5233560
A C 22.5697959
A C 22.6162358
A C 22.6626757
A C 22.7091156
A C 22.7555556
A C 22.8019955
A C 22.8484354
A C 22.8948753
A C 22.9413152
A C 22.9877551
A C 23.0341950
A C 23.0806349
A C 23.1270748
A C 23.1735147
A C 23.2199546
A C 23.2663946
A C 23.3128345
A C 23.3592744
A C 23.4057143
A C 23.4521542
A C 23.4985941
A C 23.5450340
A C 23.5914739
A C 23.6379138
A C 23.6843537
A C 23.7307937
A C 23.7772336
A C 23.8236735
A C 23.8701134
A C 23.9165533
A C 23.9629932
A C 24.0094331
A C 24.0558730
A C 24.1023129
A C 24.1487528
A C 24.1951927
A C 24.2416327
A C 24.2880726
A C 24.3345125
A C 24.3809524
A C 24.4273923
A C 24.4738322
A C 24.5202721
A C 24.5667120
A C 24.6131519
A C 24.6595918
A C 24.7060317
A C 24.7524717
A C 24.7989116
A C 24.8453515
A C 24.8917914
A C 24.9382313
A C 24.9846712
A C 25.0311111
A C 25.0775510
A C 25.1239909
A C 25.1704308
A C 25.2168707
A C 25.2633107
A C 25.3097506
A C 25.3561905
A C 25.4026304
A C 25.4490703
A C 25.4955102
A C 25.5419501
A C 25.5883900
A C 25.6348299
A C 25.6812698
A C 25.7277098
A C 25.7741497
A C 25.8205896
A C 25.8670295
A C 25.9134694
A C 25.9599093
A C 26.0063492
A C 26.0527891
A C 26.0992290
A C 26.1456689
A C 26.1921088
A C 26.2385488
A C 26.2849887
A C 26.3314286
A C 26.3778685
A C 26.4243084
A C 26.4707483
A C 26.5171882
A C 26.5636281
A C 26.6100680
A C 26.6565079
A C 26.7029478
A C 26.7493878
A C 26.7958277
A C 26.8422676
A C 26.8887075
A C 26.9351474
A C 26.9815873
A C 27.0280272
A C 27.0744671
A C 27.1209070
