J A 16.2539683
J A 16.3004082
J A 16.3468481
J A 16.3932880
J A 16.4397279
J A 16.4861678
J A 16.5326077
J A 16.5790476
J A 16.6254875
J A 16.6719274
J A 16.7183673
J A 16.7648073
J A 16.8112472
J A 16.8576871
J A 16.9041270
J A 16.9505669
J A 16.9970068
J A 17.0434467
J A 17.0898866
J A 17.1363265
J A 17.1827664
J A 17.2292063
K A# 17.2756463
K A# 17.3220862
K A# 17.3685261
K A# 17.4149660
K A# 17.4614059
K A# 17.5078458
K A# 17.5542857
J A 17.6007256
J A 17.6471655
J A 17.6936054
J A 17.7400454
J A 17.7864853
J A 17.8329252
J A 17.8793651
J A 17.9258050
J A 17.9722449
J A 18.0186848
J A 18.0651247
J A 18.1115646
K A# 18.1580045
K A# 18.2044444
K A# 18.2508844
K A# 18.2973243
K A# 18.3437642
K A# 18.3902041
K A# 18.4366440
K A# 18.4830839
K A# 18.5295238
J A 18.5759637
J A 18.6224036
J A 18.6688435
J A 18.7152834
J A 18.7617234
J A 18.8081633
J A 18.8546032
J A 18.9010431
J A 18.9474830
J A 18.9939229
J A 19.0403628
K A# 19.0868027
K A# 19.1332426
K A# 19.1796825
K A# 19.2261224
K A# 19.2725624
J A 19.3190023
J A 19.3654422
J A 19.4118821
J A 19.4583220
J A 19.5047619
J A 19.5512018
J A 19.5976417
J A 19.6440816
J A 19.6905215
J A 19.7369615
J A 19.7834014
J A 19.8298413
J A 19.8762812
J A 19.9227211
J A 19.9691610
J A 20.0156009
J A 20.0620408
J A 20.1084807
J A 20.1549206
J A 20.2013605
J A 20.2478005
J A 20.2942404
J A 20.3406803
J A 20.3871202
J A 20.4335601
J A 20.4800000
J A 20.5264399
J A 20.5728798
J A 20.6193197
J A 20.6657596
J A 20.7121995
J A 20.7586395
J A 20.8050794
J A 20.8515193
J A 20.8979592
J A 20.9443991
J A 20.9908390
J A 21.0372789
J A 21.0837188
J A 21.1301587
J A 21.1765986
J A 21.2230385
J A 21.2694785
J A 21.3159184
J A 21.3623583
J A 21.4087982
J A 21.4552381
J A 21.5016780
J A 21.5481179
J A 21.5945578
J A 21.6409977
J A 21.6874376
J A 21.7338776
J A 21.7803175
J A 21.8267574
J A 21.8731973
J A 21.9196372
J A 21.9660771
J A 22.0125170
J A 22.0589569
J A 22.1053968
J A 22.1518367
J A 22.1982766
J A 22.2447166
K A# 22.2911565
K A# 22.3375964
K A# 22.3840363
K A# 22.4304762
K A# 22.4769161
K A# 22.5233560
K A# 22.5697959
K A# 22.6162358
K A# 22.6626757
K A# 22.7091156
K A# 22.7555556
K A# 22.8019955
K A# 22.8484354
J A 22.8948753
J A 22.9413152
J A 22.9877551
J A 23.0341950
J A 23.0806349
J A 23.1270748
J A 23.1735147
J A 23.2199546
J A 23.2663946
J A 23.3128345
J A 23.3592744
J A 23.4057143
J A 23.4521542
J A 23.4985941
J A 23.5450340
J A 23.5914739
J A 23.6379138
J A 23.6843537
J A 23.7307937
J A 23.7772336
J A 23.8236735
J A 23.8701134
J A 23.9165533
J A 23.9629932
J A 24.0094331
K A# 24.0558730
K A# 24.1023129
K A# 24.1487528
K A# 24.1951927
K A# 24.2416327
K A# 24.2880726
K A# 24.3345125
K A# 24.3809524
K A# 24.4273923
K A# 24.4738322
K A# 24.5202721
J A 24.5667120
J A 24.6131519
J A 24.6595918
J A 24.7060317
J A 24.7524717
J A 24.7989116
J A 24.8453515
J A 24.8917914
J A 24.9382313
J A 24.9846712
J A 25.0311111
J A 25.0775510
J A 25.1239909
J A 25.1704308
J A 25.2168707
J A 25.2633107
J A 25.3097506
J A 25.3561905
J A 25.4026304
J A 25.4490703
J A 25.4955102
J A 25.5419501
J A 25.5883900
J A 25.6348299
J A 25.6812698
J A 25.7277098
J A 25.7741497
J A 25.8205896
J A 25.8670295
J A 25.9134694
K A# 25.9599093
K A# 26.0063492
K A# 26.0527891
K A# 26.0992290
K A# 26.1456689
J A 26.1921088
J A 26.2385488
J A 26.2849887
J A 26.3314286
J A 26.3778685
J A 26.4243084
J A 26.4707483
J A 26.5171882
J A 26.5636281
J A 26.6100680
J A 26.6565079
J A 26.7029478
J A 26.7493878
J A 26.7958277
J A 26.8422676
J A 26.8887075
J A 26.9351474
J A 26.9815873
J A 27.0280272
J A 27.0744671
J A 27.1209070
J A 27.1673469
J A 27.2137868
J A 27.2602268
J A 27.3066667
J A 27.3531066
J A 27.3995465
H G 27.4459864
F F 27.4924263
F F 27.5388662
F F 27.5853061
F F 27.6317460
F F 27.6781859
F F 27.7246259
F F 27.7710658
F F 27.8175057
F F 27.8639456
F F 27.9103855
F F 27.9568254
F F 28.0032653
F F 28.0497052
F F 28.0961451
F F 28.1425850
F F 28.1890249
F F 28.2354649
F F 28.2819048
F F 28.3283447
F F 28.3747846
F F 28.4212245
F F 28.4676644
F F 28.5141043
F F 28.5605442
F F 28.6069841
F F 28.6534240
F F 28.6998639
F F 28.7463039
F F 28.7927438
F F 28.8391837
F F 28.8856236
F F 28.9320635
F F 28.9785034
F F 29.0249433
F F 29.0713832
F F 29.1178231
F F 29.1642630
F F 29.2107029
F F 29.2571429
F F 29.3035828
F F 29.3500227
F F 29.3964626
F F 29.4429025
F F 29.4893424
F F 29.5357823
F F 29.5822222
F F 29.6286621
F F 29.6751020
F F 29.7215420
F F 29.7679819
F F 29.8144218
F F 29.8608617
F F 29.9073016
F F 29.9537415
F F 30.0001814
F F 30.0466213
F F 30.0930612
F F 30.1395011
F F 30.1859410
F F 30.2323810
F F 30.2788209
F F 30.3252608
F F 30.3717007
F F 30.4181406
F F 30.4645805
F F 30.5110204
F F 30.5574603
F F 30.6039002
F F 30.6503401
F F 30.6967800
F F 30.7432200
F F 30.7896599
F F 30.8360998
F F 30.8825397
O Dm 30.9289796
O Dm 30.9754195
O Dm 31.0218594
O Dm 31.0682993
O Dm 31.1147392
O Dm 31.1611791
O Dm 31.2076190
O Dm 31.2540590
O Dm 31.3004989
O Dm 31.3469388
O Dm 31.3933787
C D 31.4398186
C D 31.4862585
C D 31.5326984
C D 31.5791383
C D 31.6255782
C D 31.6720181
C D 31.7184580
C D 31.7648980
C D 31.8113379
C D 31.8577778
C D 31.9042177
C D 31.9506576
C D 31.9970975
C D 32.0435374
C D 32.0899773
C D 32.1364172
C D 32.1828571
C D 32.2292971
C D 32.2757370
C D 32.3221769
C D 32.3686168
C D 32.4150567
C D 32.4614966
C D 32.5079365
C D 32.5543764
C D 32.6008163
C D 32.6472562
C D 32.6936961
C D 32.7401361
C D 32.7865760
C D 32.8330159
C D 32.8794558
C D 32.9258957
C D 32.9723356
C D 33.0187755
C D 33.0652154
C D 33.1116553
C D 33.1580952
C D 33.2045351
C D 33.2509751
C D 33.2974150
C D 33.3438549
C D 33.3902948
C D 33.4367347
C D 33.4831746
C D 33.5296145
C D 33.5760544
C D 33.6224943
C D 33.6689342
C D 33.7153741
C D 33.7618141
C D 33.8082540
C D 33.8546939
C D 33.9011338
C D 33.9475737
C D 33.9940136
C D 34.0404535
C D 34.0868934
C D 34.1333333
C D 34.1797732
C D 34.2262132
C D 34.2726531
J A 34.3190930
J A 34.3655329
J A 34.4119728
J A 34.4584127
J A 34.5048526
J A 34.5512925
J A 34.5977324
J A 34.6441723
J A 34.6906122
J A 34.7370522
J A 34.7834921
J A 34.8299320
J A 34.8763719
J A 34.9228118
J A 34.9692517
J A 35.0156916
J A 35.0621315
J A 35.1085714
J A 35.1550113
J A 35.2014512
J A 35.2478912
J A 35.2943311
J A 35.3407710
J A 35.3872109
J A 35.4336508
J A 35.4800907
J A 35.5265306
J A 35.5729705
J A 35.6194104
J A 35.6658503
J A 35.7122902
J A 35.7587302
J A 35.8051701
J A 35.8516100
J A 35.8980499
J A 35.9444898
J A 35.9909297
J A 36.0373696
J A 36.0838095
J A 36.1302494
J A 36.1766893
J A 36.2231293
J A 36.2695692
J A 36.3160091
J A 36.3624490
J A 36.4088889
J A 36.4553288
J A 36.5017687
J A 36.5482086
J A 36.5946485
J A 36.6410884
J A 36.6875283
J A 36.7339683
J A 36.7804082
J A 36.8268481
J A 36.8732880
J A 36.9197279
J A 36.9661678
J A 37.0126077
J A 37.0590476
J A 37.1054875
J A 37.1519274
J A 37.1983673
J A 37.2448073
J A 37.2912472
J A 37.3376871
J A 37.3841270
J A 37.4305669
J A 37.4770068
J A 37.5234467
J A 37.5698866
J A 37.6163265
J A 37.6627664
J A 37.7092063
J A 37.7556463
J A 37.8020862
J A 37.8485261
J A 37.8949660
J A 37.9414059
J A 37.9878458
J A 38.0342857
J A 38.0807256
J A 38.1271655
J A 38.1736054
J A 38.2200454
J A 38.2664853
J A 38.3129252
J A 38.3593651
J A 38.4058050
J A 38.4522449
J A 38.4986848
J A 38.5451247
J A 38.5915646
J A 38.6380045
J A 38.6844444
J A 38.7308844
J A 38.7773243
J A 38.8237642
J A 38.8702041
J A 38.9166440
J A 38.9630839
J A 39.0095238
J A 39.0559637
J A 39.1024036
J A 39.1488435
J A 39.1952834
J A 39.2417234
J A 39.2881633
J A 39.3346032
J A 39.3810431
J A 39.4274830
J A 39.4739229
J A 39.5203628
J A 39.5668027
J A 39.6132426
J A 39.6596825
J A 39.7061224
J A 39.7525624
J A 39.7990023
J A 39.8454422
J A 39.8918821
J A 39.9383220
J A 39.9847619
J A 40.0312018
J A 40.0776417
J A 40.1240816
J A 40.1705215
J A 40.2169615
J A 40.2634014
J A 40.3098413
J A 40.3562812
J A 40.4027211
J A 40.4491610
J A 40.4956009
J A 40.5420408
J A 40.5884807
J A 40.6349206
J A 40.6813605
J A 40.7278005
J A 40.7742404
J A 40.8206803
J A 40.8671202
J A 40.9135601
J A 40.9600000
J A 41.0064399
H G 41.0528798
H G 41.0993197
H G 41.1457596
F F 41.1921995
F F 41.2386395
F F 41.2850794
F F 41.3315193
F F 41.3779592
F F 41.4243991
F F 41.4708390
F F 41.5172789
F F 41.5637188
F F 41.6101587
F F 41.6565986
F F 41.7030385
F F 41.7494785
F F 41.7959184
F F 41.8423583
F F 41.8887982
F F 41.9352381
F F 41.9816780
F F 42.0281179
F F 42.0745578
F F 42.1209977
F F 42.1674376
F F 42.2138776
F F 42.2603175
F F 42.3067574
F F 42.3531973
F F 42.3996372
F F 42.4460771
F F 42.4925170
F F 42.5389569
F F 42.5853968
F F 42.6318367
F F 42.6782766
F F 42.7247166
F F 42.7711565
F F 42.8175964
F F 42.8640363
F F 42.9104762
F F 42.9569161
F F 43.0033560
F F 43.0497959
F F 43.0962358
F F 43.1426757
F F 43.1891156
F F 43.2355556
F F 43.2819955
F F 43.3284354
F F 43.3748753
F F 43.4213152
F F 43.4677551
F F 43.5141950
F F 43.5606349
F F 43.6070748
F F 43.6535147
F F 43.6999546
F F 43.7463946
F F 43.7928345
F F 43.8392744
F F 43.8857143
F F 43.9321542
F F 43.9785941
F F 44.0250340
F F 44.0714739
F F 44.1179138
F F 44.1643537
F F 44.2107937
F F 44.2572336
F F 44.3036735
F F 44.3501134
F F 44.3965533
F F 44.4429932
F F 44.4894331
F F 44.5358730
F F 44.5823129
F F 44.6287528
G F# 44.6751927
G F# 44.7216327
G F# 44.7680726
G F# 44.8145125
G F# 44.8609524
G F# 44.9073923
G F# 44.9538322
G F# 45.0002721
G F# 45.0467120
G F# 45.0931519
G F# 45.1395918
G F# 45.1860317
G F# 45.2324717
G F# 45.2789116
G F# 45.3253515
G F# 45.3717914
G F# 45.4182313
G F# 45.4646712
G F# 45.5111111
G F# 45.5575510
G F# 45.6039909
G F# 45.6504308
G F# 45.6968707
G F# 45.7433107
G F# 45.7897506
G F# 45.8361905
G F# 45.8826304
G F# 45.9290703
G F# 45.9755102
G F# 46.0219501
G F# 46.0683900
G F# 46.1148299
G F# 46.1612698
G F# 46.2077098
G F# 46.2541497
G F# 46.3005896
H G 46.3470295
H G 46.3934694
H G 46.4399093
H G 46.4863492
H G 46.5327891
H G 46.5792290
H G 46.6256689
H G 46.6721088
H G 46.7185488
H G 46.7649887
H G 46.8114286
H G 46.8578685
H G 46.9043084
H G 46.9507483
H G 46.9971882
H G 47.0436281
H G 47.0900680
H G 47.1365079
H G 47.1829478
H G 47.2293878
H G 47.2758277
H G 47.3222676
H G 47.3687075
H G 47.4151474
H G 47.4615873
H G 47.5080272
H G 47.5544671
H G 47.6009070
H G 47.6473469
H G 47.6937868
H G 47.7402268
H G 47.7866667
H G 47.8331066
H G 47.8795465
H G 47.9259864
H G 47.9724263
H G 48.0188662
H G 48.0653061
H G 48.1117460
H G 48.1581859
H G 48.2046259
H G 48.2510658
F F 48.2975057
F F 48.3439456
F F 48.3903855
F F 48.4368254
F F 48.4832653
F F 48.5297052
F F 48.5761451
F F 48.6225850
F F 48.6690249
F F 48.7154649
F F 48.7619048
F F 48.8083447
F F 48.8547846
F F 48.9012245
F F 48.9476644
F F 48.9941043
F F 49.0405442
F F 49.0869841
F F 49.1334240
F F 49.1798639
F F 49.2263039
F F 49.2727438
F F 49.3191837
F F 49.3656236
F F 49.4120635
F F 49.4585034
F F 49.5049433
F F 49.5513832
F F 49.5978231
F F 49.6442630
F F 49.6907029
F F 49.7371429
F F 49.7835828
F F 49.8300227
F F 49.8764626
F F 49.9229025
F F 49.9693424
F F 50.0157823
F F 50.0622222
F F 50.1086621
F F 50.1551020
F F 50.2015420
F F 50.2479819
F F 50.2944218
F F 50.3408617
F F 50.3873016
F F 50.4337415
F F 50.4801814
F F 50.5266213
F F 50.5730612
F F 50.6195011
F F 50.6659410
F F 50.7123810
F F 50.7588209
F F 50.8052608
F F 50.8517007
F F 50.8981406
F F 50.9445805
F F 50.9910204
F F 51.0374603
F F 51.0839002
F F 51.1303401
F F 51.1767800
F F 51.2232200
F F 51.2696599
F F 51.3160998
F F 51.3625397
F F 51.4089796
O Dm 51.4554195
O Dm 51.5018594
O Dm 51.5482993
O Dm 51.5947392
O Dm 51.6411791
O Dm 51.6876190
O Dm 51.7340590
O Dm 51.7804989
O Dm 51.8269388
O Dm 51.8733787
O Dm 51.9198186
O Dm 51.9662585
C D 52.0126984
C D 52.0591383
C D 52.1055782
C D 52.1520181
C D 52.1984580
C D 52.2448980
C D 52.2913379
C D 52.3377778
C D 52.3842177
C D 52.4306576
C D 52.4770975
C D 52.5235374
C D 52.5699773
C D 52.6164172
C D 52.6628571
C D 52.7092971
C D 52.7557370
C D 52.8021769
C D 52.8486168
C D 52.8950567
C D 52.9414966
C D 52.9879365
C D 53.0343764
C D 53.0808163
C D 53.1272562
C D 53.1736961
C D 53.2201361
C D 53.2665760
C D 53.3130159
C D 53.3594558
C D 53.4058957
C D 53.4523356
C D 53.4987755
C D 53.5452154
C D 53.5916553
C D 53.6380952
C D 53.6845351
C D 53.7309751
C D 53.7774150
C D 53.8238549
C D 53.8702948
C D 53.9167347
C D 53.9631746
C D 54.0096145
C D 54.0560544
C D 54.1024943
C D 54.1489342
C D 54.1953741
C D 54.2418141
C D 54.2882540
C D 54.3346939
C D 54.3811338
C D 54.4275737
C D 54.4740136
C D 54.5204535
C D 54.5668934
C D 54.6133333
C D 54.6597732
C D 54.7062132
C D 54.7526531
C D 54.7990930
C D 54.8455329
J A 54.8919728
J A 54.9384127
J A 54.9848526
J A 55.0312925
J A 55.0777324
J A 55.1241723
J A 55.1706122
J A 55.2170522
J A 55.2634921
J A 55.3099320
J A 55.3563719
J A 55.4028118
J A 55.4492517
J A 55.4956916
J A 55.5421315
J A 55.5885714
J A 55.6350113
J A 55.6814512
J A 55.7278912
J A 55.7743311
J A 55.8207710
J A 55.8672109
J A 55.9136508
J A 55.9600907
J A 56.0065306
J A 56.0529705
J A 56.0994104
J A 56.1458503
J A 56.1922902
J A 56.2387302
J A 56.2851701
J A 56.3316100
J A 56.3780499
J A 56.4244898
J A 56.4709297
J A 56.5173696
J A 56.5638095
J A 56.6102494
J A 56.6566893
J A 56.7031293
J A 56.7495692
J A 56.7960091
J A 56.8424490
J A 56.8888889
J A 56.9353288
J A 56.9817687
J A 57.0282086
J A 57.0746485
J A 57.1210884
J A 57.1675283
J A 57.2139683
J A 57.2604082
J A 57.3068481
J A 57.3532880
J A 57.3997279
J A 57.4461678
J A 57.4926077
J A 57.5390476
J A 57.5854875
J A 57.6319274
J A 57.6783673
J A 57.7248073
J A 57.7712472
J A 57.8176871
J A 57.8641270
J A 57.9105669
J A 57.9570068
J A 58.0034467
J A 58.0498866
J A 58.0963265
J A 58.1427664
J A 58.1892063
J A 58.2356463
J A 58.2820862
J A 58.3285261
J A 58.3749660
J A 58.4214059
J A 58.4678458
J A 58.5142857
J A 58.5607256
J A 58.6071655
J A 58.6536054
J A 58.7000454
J A 58.7464853
J A 58.7929252
J A 58.8393651
J A 58.8858050
J A 58.9322449
J A 58.9786848
J A 59.0251247
J A 59.0715646
J A 59.1180045
J A 59.1644444
J A 59.2108844
J A 59.2573243
J A 59.3037642
J A 59.3502041
J A 59.3966440
J A 59.4430839
J A 59.4895238
J A 59.5359637
J A 59.5824036
J A 59.6288435
J A 59.6752834
J A 59.7217234
J A 59.7681633
J A 59.8146032
J A 59.8610431
J A 59.9074830
J A 59.9539229
J A 60.0003628
J A 60.0468027
J A 60.0932426
J A 60.1396825
J A 60.1861224
J A 60.2325624
J A 60.2790023
J A 60.3254422
J A 60.3718821
J A 60.4183220
J A 60.4647619
J A 60.5112018
J A 60.5576417
J A 60.6040816
J A 60.6505215
J A 60.6969615
J A 60.7434014
J A 60.7898413
J A 60.8362812
J A 60.8827211
J A 60.9291610
J A 60.9756009
J A 61.0220408
J A 61.0684807
J A 61.1149206
J A 61.1613605
J A 61.2078005
J A 61.2542404
J A 61.3006803
J A 61.3471202
J A 61.3935601
J A 61.4400000
J A 61.4864399
J A 61.5328798
H G 61.5793197
H G 61.6257596
H G 61.6721995
H G 61.7186395
H G 61.7650794
H G 61.8115193
H G 61.8579592
F F 61.9043991
F F 61.9508390
F F 61.9972789
F F 62.0437188
F F 62.0901587
F F 62.1365986
F F 62.1830385
F F 62.2294785
F F 62.2759184
F F 62.3223583
F F 62.3687982
F F 62.4152381
F F 62.4616780
F F 62.5081179
F F 62.5545578
F F 62.6009977
F F 62.6474376
F F 62.6938776
F F 62.7403175
F F 62.7867574
F F 62.8331973
F F 62.8796372
F F 62.9260771
F F 62.9725170
F F 63.0189569
F F 63.0653968
F F 63.1118367
F F 63.1582766
F F 63.2047166
F F 63.2511565
F F 63.2975964
F F 63.3440363
F F 63.3904762
F F 63.4369161
F F 63.4833560
F F 63.5297959
F F 63.5762358
F F 63.6226757
F F 63.6691156
F F 63.7155556
F F 63.7619955
F F 63.8084354
F F 63.8548753
F F 63.9013152
F F 63.9477551
F F 63.9941950
F F 64.0406349
F F 64.0870748
F F 64.1335147
F F 64.1799546
F F 64.2263946
F F 64.2728345
F F 64.3192744
F F 64.3657143
F F 64.4121542
F F 64.4585941
F F 64.5050340
F F 64.5514739
F F 64.5979138
F F 64.6443537
F F 64.6907937
F F 64.7372336
F F 64.7836735
F F 64.8301134
F F 64.8765533
F F 64.9229932
F F 64.9694331
F F 65.0158730
F F 65.0623129
F F 65.1087528
F F 65.1551927
F F 65.2016327
F F 65.2480726
G F# 65.2945125
G F# 65.3409524
G F# 65.3873923
G F# 65.4338322
G F# 65.4802721
G F# 65.5267120
G F# 65.5731519
G F# 65.6195918
G F# 65.6660317
G F# 65.7124717
G F# 65.7589116
G F# 65.8053515
G F# 65.8517914
G F# 65.8982313
G F# 65.9446712
G F# 65.9911111
G F# 66.0375510
G F# 66.0839909
G F# 66.1304308
G F# 66.1768707
G F# 66.2233107
G F# 66.2697506
G F# 66.3161905
G F# 66.3626304
G F# 66.4090703
G F# 66.4555102
G F# 66.5019501
G F# 66.5483900
G F# 66.5948299
G F# 66.6412698
G F# 66.6877098
G F# 66.7341497
G F# 66.7805896
G F# 66.8270295
G F# 66.8734694
H G 66.9199093
H G 66.9663492
H G 67.0127891
H G 67.0592290
H G 67.1056689
H G 67.1521088
H G 67.1985488
H G 67.2449887
H G 67.2914286
H G 67.3378685
H G 67.3843084
H G 67.4307483
H G 67.4771882
H G 67.5236281
H G 67.5700680
H G 67.6165079
H G 67.6629478
H G 67.7093878
H G 67.7558277
H G 67.8022676
H G 67.8487075
H G 67.8951474
H G 67.9415873
H G 67.9880272
H G 68.0344671
H G 68.0809070
H G 68.1273469
H G 68.1737868
H G 68.2202268
H G 68.2666667
H G 68.3131066
H G 68.3595465
H G 68.4059864
H G 68.4524263
H G 68.4988662
H G 68.5453061
H G 68.5917460
H G 68.6381859
H G 68.6846259
H G 68.7310658
H G 68.7775057
H G 68.8239456
F F 68.8703855
F F 68.9168254
F F 68.9632653
F F 69.0097052
F F 69.0561451
F F 69.1025850
F F 69.1490249
F F 69.1954649
F F 69.2419048
F F 69.2883447
F F 69.3347846
F F 69.3812245
F F 69.4276644
F F 69.4741043
F F 69.5205442
F F 69.5669841
F F 69.6134240
F F 69.6598639
F F 69.7063039
F F 69.7527438
F F 69.7991837
F F 69.8456236
F F 69.8920635
F F 69.9385034
F F 69.9849433
F F 70.0313832
F F 70.0778231
F F 70.1242630
F F 70.1707029
F F 70.2171429
F F 70.2635828
F F 70.3100227
F F 70.3564626
F F 70.4029025
F F 70.4493424
F F 70.4957823
F F 70.5422222
F F 70.5886621
F F 70.6351020
F F 70.6815420
F F 70.7279819
F F 70.7744218
F F 70.8208617
F F 70.8673016
F F 70.9137415
F F 70.9601814
F F 71.0066213
F F 71.0530612
