J A 17.7864853
J A 17.8329252
J A 17.8793651
J A 17.9258050
A C 17.9722449
A C 18.0186848
A C 18.0651247
A C 18.1115646
A C 18.1580045
A C 18.2044444
A C 18.2508844
A C 18.2973243
A C 18.3437642
A C 18.3902041
A C 18.4366440
A C 18.4830839
A C 18.5295238
H G 18.5759637
H G 18.6224036
H G 18.6688435
H G 18.7152834
H G 18.7617234
J A 18.8081633
J A 18.8546032
J A 18.9010431
J A 18.9474830
J A 18.9939229
J A 19.0403628
J A 19.0868027
J A 19.1332426
J A 19.1796825
J A 19.2261224
H G 19.2725624
H G 19.3190023
H G 19.3654422
H G 19.4118821
H G 19.4583220
J A 19.5047619
J A 19.5512018
J A 19.5976417
J A 19.6440816
J A 19.6905215
J A 19.7369615
J A 19.7834014
J A 19.8298413
J A 19.8762812
A C 19.9227211
A C 19.9691610
A C 20.0156009
A C 20.0620408
A C 20.1084807
A C 20.1549206
A C 20.2013605
A C 20.2478005
A C 20.2942404
A C 20.3406803
A C 20.3871202
A C 20.4335601
H G 20.4800000
H G 20.5264399
H G 20.5728798
H G 20.6193197
J A 20.6657596
J A 20.7121995
J A 20.7586395
J A 20.8050794
J A 20.8515193
J A 20.8979592
J A 20.9443991
J A 20.9908390
J A 21.0372789
J A 21.0837188
H G 21.1301587
H G 21.1765986
H G 21.2230385
H G 21.2694785
H G 21.3159184
H G 21.3623583
J A 21.4087982
J A 21.4552381
J A 21.5016780
J A 21.5481179
J A 21.5945578
J A 21.6409977
A C 21.6874376
A C 21.7338776
A C 21.7803175
A C 21.8267574
A C 21.8731973
A C 21.9196372
A C 21.9660771
A C 22.0125170
A C 22.0589569
A C 22.1053968
A C 22.1518367
A C 22.1982766
A C 22.2447166
M Cm 22.2911565
M Cm 22.3375964
M Cm 22.3840363
M Cm 22.4304762
M Cm 22.4769161
M Cm 22.5233560
M Cm 22.5697959
M Cm 22.6162358
M Cm 22.6626757
M Cm 22.7091156
M Cm 22.7555556
M Cm 22.8019955
